created_time,BI,BI_Simple,open,high,low,close,volume,BI_MA,BI_Simple_MA,open_lag1,high_lag1,low_lag1,volume_lag1,BI_Simple_lag1,open_lag2,high_lag2,low_lag2,volume_lag2,BI_Simple_lag2
2024-07-03,-1.4064497188315868,-0.6068631107795599,2982.38,2995.66,2998.54,2978.07,24630000000.0,-1.2278030321721438,-0.5442522897310327,2997.01,2992.86,3004.99,28140000000.0,-0.4816414686825054,2994.73,2965.25,2996.41,29780000000.0,-0.3791574279379157
2024-07-04,-1.4475294214536027,-0.6195079086115993,2957.57,2984.83,2995.57,2955.29,27430000000.0,-1.4269895701425952,-0.6131855096955796,2982.38,2995.66,2998.54,24630000000.0,-0.6068631107795599,2997.01,2992.86,3004.99,28140000000.0,-0.4816414686825054
2024-07-05,-1.2748838349687914,-0.5634365634365635,2949.93,2954.37,2957.11,2920.2,27230000000.0,-1.3612066282111974,-0.5914722360240814,2957.57,2984.83,2995.57,27430000000.0,-0.6195079086115993,2982.38,2995.66,2998.54,24630000000.0,-0.6068631107795599
2024-07-06,-1.0777782017652675,-0.4947368421052631,2949.93,2954.37,2957.11,2920.2,27230000000.0,-1.17633101836703,-0.5290867027709132,2949.93,2954.37,2957.11,27230000000.0,-0.5634365634365635,2957.57,2984.83,2995.57,27430000000.0,-0.6195079086115993
2024-07-07,-0.8660709748951286,-0.4103343465045592,2949.93,2954.37,2957.11,2920.2,27230000000.0,-0.9719245883301986,-0.4525355943049111,2949.93,2954.37,2957.11,27230000000.0,-0.4947368421052631,2949.93,2954.37,2957.11,27230000000.0,-0.5634365634365635
2024-07-08,-1.3405683598800502,-0.5853745118920838,2922.45,2939.84,2947.61,2917.23,27750000000.0,-1.10331966738759,-0.4978544291983214,2949.93,2954.37,2957.11,27230000000.0,-0.4103343465045592,2949.93,2954.37,2957.11,27230000000.0,-0.4947368421052631
2024-07-09,-1.2374256572205329,-0.5504625735912532,2959.37,2919.57,2963.78,2904.04,31510000000.0,-1.2889970085502918,-0.5679185427416684,2922.45,2939.84,2947.61,27750000000.0,-0.5853745118920838,2949.93,2954.37,2957.11,27230000000.0,-0.4103343465045592
2024-07-10,-1.0850802824495334,-0.4951965065502183,2939.36,2949.03,2958.86,2935.33,30150000000.0,-1.1612529698350336,-0.5228295400707357,2959.37,2919.57,2963.78,31510000000.0,-0.5504625735912532,2922.45,2939.84,2947.61,27750000000.0,-0.5853745118920838
2024-07-11,-0.7598767145014943,-0.3628363087754589,2970.39,2957.25,2971.36,2947.4,32840000000.000004,-0.9224784984755144,-0.4290164076628385,2939.36,2949.03,2958.86,30150000000.0,-0.4951965065502183,2959.37,2919.57,2963.78,31510000000.0,-0.5504625735912532
2024-07-12,-0.9267620317414506,-0.4331296673455533,2971.29,2965.61,2977.14,2963.3,30370000000.0,-0.843319373121473,-0.397982988060506,2970.39,2957.25,2971.36,32840000000.000004,-0.3628363087754589,2939.36,2949.03,2958.86,30150000000.0,-0.4951965065502183
2024-07-13,-0.9824513133835944,-0.4562647754137116,2971.29,2965.61,2977.14,2963.3,30370000000.0,-0.954606672562523,-0.4446972213796324,2971.29,2965.61,2977.14,30370000000.0,-0.4331296673455533,2970.39,2957.25,2971.36,32840000000.000004,-0.3628363087754589
2024-07-14,-1.019362917013969,-0.4720812182741117,2971.29,2965.61,2977.14,2963.3,30370000000.0,-1.0009071151987825,-0.4641729968439115,2971.29,2965.61,2977.14,30370000000.0,-0.4562647754137116,2971.29,2965.61,2977.14,30370000000.0,-0.4331296673455533
2024-07-15,-1.0479322278804477,-0.4811046511627907,2974.01,2963.85,2977.31,2959.13,26900000000.0,-1.0336475724472087,-0.4765929347184511,2971.29,2965.61,2977.14,30370000000.0,-0.4720812182741117,2971.29,2965.61,2977.14,30370000000.0,-0.4562647754137116
2024-07-16,-0.6796748396191784,-0.3276003276003276,2976.3,2963.9,2977.36,2959.67,26080000000.0,-0.8638035337498136,-0.4043524893815591,2974.01,2963.85,2977.31,26900000000.0,-0.4811046511627907,2971.29,2965.61,2977.14,30370000000.0,-0.4720812182741117
2024-07-17,-0.8477886579430679,-0.4004812650395324,2962.85,2970.81,2972.79,2957.95,28230000000.0,-0.7637317487811237,-0.3640407963199299,2976.3,2963.9,2977.36,26080000000.0,-0.3276003276003276,2974.01,2963.85,2977.31,26900000000.0,-0.4811046511627907
2024-07-18,-0.9713012467600716,-0.4510016242555495,2977.13,2951.14,2978.09,2937.9,27800000000.0,-0.9095449523515704,-0.4257414446475409,2962.85,2970.81,2972.79,28230000000.0,-0.4004812650395324,2976.3,2963.9,2977.36,26080000000.0,-0.3276003276003276
2024-07-19,-0.6168947490601897,-0.2992895204262877,2982.31,2963.51,2986.24,2955.12,28090000000.0,-0.7940979979101312,-0.3751455723409186,2977.13,2951.14,2978.09,27800000000.0,-0.4510016242555495,2962.85,2970.81,2972.79,28230000000.0,-0.4004812650395324
2024-07-20,0.3274563979395924,0.1629955947136563,2982.31,2963.51,2986.24,2955.12,28090000000.0,-0.1447191755602992,-0.0681469628563156,2982.31,2963.51,2986.24,28090000000.0,-0.2992895204262877,2977.13,2951.14,2978.09,27800000000.0,-0.4510016242555495
2024-07-21,0.1488456275975651,0.0745697896749522,2982.31,2963.51,2986.24,2955.12,28090000000.0,0.2381510127685782,0.1187826921943043,2982.31,2963.51,2986.24,28090000000.0,0.1629955947136563,2982.31,2963.51,2986.24,28090000000.0,-0.2992895204262877
2024-07-22,-0.4556548526320197,-0.22412562455389,2964.22,2978.19,2978.6,2946.56,27880000000.0,-0.1534046125172278,-0.0747779174394688,2982.31,2963.51,2986.24,28090000000.0,0.0745697896749522,2982.31,2963.51,2986.24,28090000000.0,0.1629955947136563
